x	y	z
34	98	0.9448065115211867
34	100	0.930629659653334
36	0	5.5569807077249746e-6
36	2	1.7524049877398815e-5
36	4	5.52610178589253e-5
36	6	1.7424807440656628e-4
36	8	5.492779308449683e-4
36	10	0.0016897445612853246
36	12	0.004530745583316813
36	14	0.011586273125669894
36	16	0.0297723508286234
36	18	0.05832761932811676
36	20	0.10378149090350634
36	22	0.20522781543571056
36	24	0.45007090492167523
36	26	0.7841279763770528
36	28	0.9265608937603192
36	30	0.9566517442051118
36	32	0.957841931067755
36	34	0.9515262748881483
36	36	0.9480938677929508
36	38	0.9560668510953919
36	40	0.9721068056720993
36	42	0.9852848016293109
36	44	0.9919727447007884
36	46	0.9944315009914125
36	48	0.9944111168292032
36	50	0.9918176290655474
36	52	0.9853415286221955
36	54	0.9766173571362347
36	56	0.9749988496097526
36	58	0.9805875404548429
36	60	0.9832733379132768
36	62	0.9793428461540878
36	64	0.971667903350094
36	66	0.9724720414428988
36	68	0.9790949442457311
36	70	0.9796722711281287
36	72	0.9643520666390437
36	74	0.9027290607371801
36	76	0.7567557327618423
36	78	0.6374908752802023
36	80	0.6654216619483803
36	82	0.7697486869904394
36	84	0.8511307486356107
36	86	0.8913538800826761
36	88	0.9083792673964053
36	90	0.9166387817508951
36	92	0.9220130768186892
36	94	0.9243738112085482
36	96	0.9221249378498585
36	98	0.914830104108508
36	100	0.9039165856139754
38	0	3.5125537421098807e-6
38	2	1.1008717935437972e-5
38	4	3.450194381013157e-5
38	6	1.08125619609672e-4
38	8	3.3880446442600834e-4
38	10	0.0010670445877549622
38	12	0.0033847374224474165
38	14	0.00973136505012799
38	16	0.024243864988583406
38	18	0.05197848545067211
38	20	0.09751129002689776
38	22	0.1922086941641197
38	24	0.4249025802160694
38	26	0.7506561141115417
38	28	0.908089937436085
38	30	0.9491348036677104
38	32	0.9557625250078661
38	34	0.9501285599121833
38	36	0.941810304156341
38	38	0.9457368230915093
38	40	0.9654419105309476
38	42	0.9832410730489333
38	44	0.9913605755942809
38	46	0.9936847478412931
38	48	0.9930979631938612
38	50	0.989959536406159
38	52	0.9841717964040061
38	54	0.9787536692931992
38	56	0.9786422485297769
38	58	0.9812577214682311
38	60	0.9798816124636334
38	62	0.9703826776790545
38	64	0.9555339747786009
38	66	0.9532554713688288
